case,frame,evidence
Cosmos3_seed101_0027,27,0.05697327449176132
Cosmos3_seed101_0027,30,0.08186794520615369
Cosmos3_seed101_0027,33,0.05128476546171876
Cosmos3_seed101_0027,36,0.048565015915414136
Cosmos3_seed101_0027,39,0.06150506660686956
Cosmos3_seed101_0027,42,0.1137804233092801
Cosmos3_seed101_0027,45,0.10977418076781974
Cosmos3_seed101_0027,48,0.09321639496863053
Cosmos3_seed101_0027,51,0.1435284412804754
Cosmos3_seed101_0027,54,0.1499115416279414
Cosmos3_seed101_0027,57,0.16386370034835226
Cosmos3_seed101_0027,60,0.15952694787721938
Cosmos3_seed101_0027,63,0.10776491641504422
Cosmos3_seed101_0027,66,0.11086866749426053
Cosmos3_seed101_0027,69,0.13667408207799195
Cosmos3_seed101_0027,72,0.17179244235203817
Cosmos3_seed101_0027,75,0.1597243557254437
Cosmos3_seed101_0027,78,0.09785004057518051
Cosmos3_seed101_0027,81,0.11897435829318581
Cosmos3_seed101_0027,84,0.12291217269679983
Cosmos3_seed101_0027,87,0.11298566765668819
Cosmos3_seed101_0027,90,0.0687416063972926
Cosmos3_seed101_0027,93,0.08702333464729343
Cosmos3_seed101_0027,96,0.10411922476903838
Cosmos3_seed101_0027,99,0.10019211588535475
Cosmos3_seed101_0027,102,0.10905609025534208
Cosmos3_seed101_0027,105,0.11540263574438973
Cosmos3_seed101_0027,108,0.11265516225205659
Cosmos3_seed101_0027,111,0.10642123342051225
Cosmos3_seed101_0027,114,0.11912643319670317
Cosmos3_seed101_0027,117,0.12481452461598251
Cosmos3_seed101_0027,120,0.126344541921269
Cosmos3_seed101_0027,123,0.09463407328847719
Cosmos3_seed101_0027,126,0.08372713512439986
Cosmos3_seed101_0027,129,0.06572674640671955
Cosmos3_seed101_0027,132,0.08227724914573133
Cosmos3_seed101_0027,135,0.08105568871451943
Cosmos3_seed101_0027,138,0.05921431177765848
Cosmos3_seed101_0027,141,0.019075819838019353
Cosmos3_seed101_0027,144,0.024199064550799478
Cosmos3_seed101_0027,147,0.06347605171889216
Cosmos3_seed101_0027,150,0.05419054308402469
Cosmos3_seed101_0027,153,0.07898659683364395
Cosmos3_seed101_0027,156,0.08867578320587398
Cosmos3_seed101_0027,159,0.07230065968277558
Cosmos3_seed101_0027,162,0.11703140333200053
Cosmos3_seed101_0027,165,0.07666210027289821
Cosmos3_seed101_0027,168,0.10472006469017058
Cosmos3_seed101_0027,171,0.0829161137492062
